Latitude,Longitude,Altitude,Time
-34.55474849,-58.46607091,31.899999618530273,2021-06-10T06:49:52Z
-34.55469314,-58.46614928,32.20000076293945,2021-06-10T06:49:54Z
-34.55465653,-58.46620173,33.20000076293945,2021-06-10T06:49:55Z
-34.55461875,-58.466274,34.400001525878906,2021-06-10T06:49:57Z
-34.55458933,-58.46634144,34.5,2021-06-10T06:49:59Z
-34.55456644,-58.46639256,35.099998474121094,2021-06-10T06:50:01Z
-34.55450666,-58.46644319,35.29999923706055,2021-06-10T06:50:03Z
-34.55447446,-58.46645312,35.29999923706055,2021-06-10T06:50:05Z
-34.55445104,-58.46651149,40.29999923706055,2021-06-10T06:50:07Z
-34.55442977,-58.46656329,43.0,2021-06-10T06:50:10Z
-34.5544104,-58.46661835,43.20000076293945,2021-06-10T06:50:12Z
-34.55438353,-58.46663739,43.599998474121094,2021-06-10T06:50:13Z
-34.55432782,-58.46671005,42.900001525878906,2021-06-10T06:50:15Z
-34.55426826,-58.46683582,39.70000076293945,2021-06-10T06:50:17Z
-34.55417435,-58.46691242,39.20000076293945,2021-06-10T06:50:20Z
-34.55408052,-58.46697106,37.900001525878906,2021-06-10T06:50:22Z
-34.55404485,-58.46702823,38.900001525878906,2021-06-10T06:50:24Z
-34.55401552,-58.46709106,36.099998474121094,2021-06-10T06:50:26Z
-34.55396819,-58.46717553,35.099998474121094,2021-06-10T06:50:27Z
-34.55385813,-58.46724624,31.5,2021-06-10T06:50:29Z
-34.55377021,-58.46729979,26.0,2021-06-10T06:50:31Z
-34.55370499,-58.46734212,25.600000381469727,2021-06-10T06:50:33Z
-34.55365508,-58.46736895,25.5,2021-06-10T06:50:35Z
-34.55359873,-58.46740129,25.299999237060547,2021-06-10T06:50:37Z
-34.55357599,-58.46744022,23.899999618530273,2021-06-10T06:50:39Z
-34.55353785,-58.46746812,23.399999618530273,2021-06-10T06:50:42Z
-34.55355252,-58.46746725,24.399999618530273,2021-06-10T06:50:44Z
-34.5535665,-58.46749163,23.399999618530273,2021-06-10T06:50:47Z
-34.55359763,-58.46750658,21.600000381469727,2021-06-10T06:50:49Z
-34.55362823,-58.46746149,21.899999618530273,2021-06-10T06:50:51Z
-34.55367186,-58.46742234,20.0,2021-06-10T06:50:53Z
-34.55368347,-58.4674153,19.5,2021-06-10T06:50:55Z
-34.55370998,-58.46743836,18.399999618530273,2021-06-10T06:50:57Z
-34.55370722,-58.46748361,19.100000381469727,2021-06-10T06:50:59Z
-34.55369078,-58.467477,19.899999618530273,2021-06-10T06:51:01Z
-34.55359734,-58.46749737,20.799999237060547,2021-06-10T06:51:03Z
-34.5535865,-58.46750297,17.899999618530273,2021-06-10T06:51:06Z
-34.55358188,-58.46746935,21.299999237060547,2021-06-10T06:51:08Z
-34.55357596,-58.46745578,22.200000762939453,2021-06-10T06:51:10Z
-34.55357049,-58.46746459,23.600000381469727,2021-06-10T06:51:17Z
